uid	scrname	full name	join date	ccard	expiration
612473	BBCNews	BBC News (UK)	2007-01-08 09:05:57	9211817939259721	2022-2-8
635543	dburka	Daniel Burka	2007-01-15 16:22:14	5248191729461748	2018-6-6
635863	andycroll	Andy Croll	2007-01-15 16:56:56	4158637958534589	2020-5-23
648873	rem	Remy Sharp	2007-01-16 21:11:35	2332845314594467	2018-9-24
652193	parislemon	MG Siegler	2007-01-17 05:27:29	9355113519688623	2017-11-28
657863	kevinrose	Kevin Rose	2007-01-18 01:43:32	7235211356294965	2018-8-13
683203	milesskorpen	Miles Skorpen	2007-01-23 00:35:51	2271669274559743	2018-1-28
691353	Joi	Joi Ito	2007-01-24 05:19:24	2275995167999468	2020-6-13
712823	nateritter	Nate Ritter	2007-01-27 06:11:54	1116626785739832	2020-4-22
731573	marilink	Marilín Gonzalo	2007-01-30 11:20:40	7596527228317991	2017-3-2
749863	hotdogsladies	Merlin Mann	2007-02-03 02:39:53	7378314999325412	2022-7-28
755431	pvponline	Scott Cursedz	2007-02-06 22:09:33	5674358167664478	2017-12-1
759249	deaneckles	Dean Eckles	2007-02-09 01:34:11	2417229521358651	2022-1-5
765150	grumblebee	GRUMBLEBEE	2007-02-11 20:09:36	6522595617818862	2021-7-28
765548	hmason	Hilary Mason	2007-02-11 22:22:24	5638857611512896	2018-9-9
767909	rebeccablood	Rebecca BLOOD	2007-02-12 18:56:42	4191989345992421	2017-11-29
779853	estebansaiz	Esteban Saiz	2007-02-19 07:50:47	2942423887985443	2017-8-2
783214	twitter	Twitter	2007-02-20 15:35:54	9978197487663784	2018-7-9
784165	alobbs	Alvaro Lopez Ortega	2007-02-20 20:55:29	7599428275662174	2020-6-20
804775	landay	James Landay	2007-03-02 01:05:50	9234424773719545	2019-9-25
808627	StevenLevy	Steven Levy	2007-03-03 17:34:51	2383131751239639	2017-4-5
809273	Oracle	Oracle	2007-03-04 00:54:26	5725955267731694	2020-1-4
809685	garybernhardt	Gary Bernhardt	2007-03-04 06:12:14	4313377535549924	2022-9-19
814304	arielwaldman	Ariel Waldman	2007-03-06 07:38:27	8798334553585398	2019-5-1
816653	TechCrunch	TechCrunch	2007-03-07 02:27:09	3953333238414761	2021-5-9
824022	mialoira	Mia Blume	2007-03-09 04:22:56	9742833248687125	2018-10-23
860551	ericboehs	Eric Boehs	2007-03-10 05:00:44	7821372356518234	2019-3-2
892821	donpark	Don Park	2007-03-11 01:42:16	8657946989876362	2019-7-20
914061	levie	Aaron Levie	2007-03-11 10:25:44	7653227362443745	2021-2-19
1000591	fredwilson	Fred Wilson	2007-03-12 11:47:57	6672534779787563	2018-12-29
1018421	hanke	Florian Hanke 	2007-03-12 16:28:28	3871888648293955	2020-5-9
1049021	faaborg	Alex Faaborg	2007-03-12 23:31:28	1417192127579415	2021-3-30
1118691	bjfogg	BJ Fogg	2007-03-13 22:49:58	9931741455616114	2019-6-15
1183041	wilw	Wil SCREAMton	2007-03-14 22:25:33	7356536346175284	2017-8-4
1303691	aweigend	Andreas Weigend	2007-03-16 19:32:34	3856127577654363	2018-5-10
1305941	jkottke	Jason Kottke	2007-03-16 20:04:13	2997498987981743	2019-12-17
1344951	WIRED	WIRED	2007-03-17 10:57:25	3122238472356473	2022-2-21
1468091	clofresh	Carlo Cabanilla	2007-03-19 04:39:01	8554412344572322	2022-3-29
1468801	benrito	Ben Moskowitz	2007-03-19 04:53:37	3784556314435962	2020-12-24
1491981	mingyeow	Ming Yeow	2007-03-19 12:22:06	3133394176748546	2019-3-10
1584511	desandro	Dave DeSandro	2007-03-20 04:37:42	2957224321343319	2019-5-9
1605161	randomwire	David	2007-03-20 10:05:53	4312156655418492	2019-4-29
1620841	oneras	Mario Pena	2007-03-20 13:32:47	1728655224485196	2018-11-1
1636821	wwwhatsnew	WWWhatsnew	2007-03-20 16:14:29	7454545241338531	2019-8-17
1660361	JulioAlonso	Julio Alonso	2007-03-20 20:07:03	1678171749276444	2020-2-27
1672601	lindsayism	Lindsay Robertson	2007-03-20 22:22:51	7418524886938924	2020-11-10
1788091	digenis	Digenis Akritas	2007-03-21 20:54:15	3639126112637985	2020-3-22
2100521	jonathancoulton	Jonathan Coulton	2007-03-24 13:08:27	7885728182858141	2019-11-21
2166061	rubensanchez	Ruben Sanchez	2007-03-25 11:52:19	5439364412197963	2018-6-2
2182641	stevenbjohnson	Steven Johnson	2007-03-25 17:42:05	3213632298477654	2021-2-2
2298181	semanticvoid	anand kishore	2007-03-26 15:27:34	9844341888762864	2022-1-26
2314721	oleaga	Jon Oleaga	2007-03-26 17:37:30	1916814551572553	2017-8-30
2384071	timoreilly	Tim O'Reilly	2007-03-27 03:14:05	7223683339239341	2018-1-10
2649721	neilepstein	neil epstein	2007-03-28 14:12:23	2533455186261848	2017-6-24
2660081	danpeguine	Dan Peguine	2007-03-28 15:33:15	8784848197599937	2020-1-14
2890961	Gizmodo	Gizmodo	2007-03-29 22:40:39	9126778954197292	2021-5-11
2911221	wilshipley	Kill Spookey	2007-03-30 01:47:46	9786465988649792	2017-12-17
3080761	mattcutts	Matt Cutts	2007-03-31 23:14:31	1438286194787493	2017-2-6
3176751	shashashasha	sha	2007-04-02 05:07:39	2944449732454824	2022-12-17
3204511	gimenete	Alberto Gimeno	2007-04-02 13:13:14	1911582555665862	2018-4-29
3889921	elbruno	Bruno Capuano	2007-04-09 13:20:19	9371257335657443	2017-2-14
4188111	srcasm	Jesse Middleton	2007-04-11 16:36:59	6336865874717188	2022-10-23
4215921	jasonlk	Jason M. Lemkin	2007-04-11 19:42:28	9888266664171555	2018-6-7
